date,region,product,units,unit_price,revenue
2026-01-06,North,Teddy Classic,42,29.90,1255.80
2026-01-09,South,Teddy Classic,31,29.90,926.90
2026-01-14,North,Honey Jar,120,6.50,780.00
2026-01-21,East,Teddy Classic,27,29.90,807.30
2026-01-28,West,Picnic Blanket,18,45.00,810.00
2026-02-03,North,Teddy Classic,55,29.90,1644.50
2026-02-07,South,Honey Jar,95,6.50,617.50
2026-02-12,East,Picnic Blanket,22,45.00,990.00
2026-02-18,West,Teddy Classic,33,29.90,986.70
2026-02-25,North,Honey Jar,140,6.50,910.00
2026-03-02,South,Teddy Classic,48,29.90,1435.20
2026-03-08,East,Teddy Deluxe,12,79.00,948.00
2026-03-13,West,Honey Jar,88,6.50,572.00
2026-03-19,North,Picnic Blanket,25,45.00,1125.00
2026-03-27,South,Teddy Deluxe,9,79.00,711.00
2026-04-04,East,Teddy Classic,61,29.90,1823.90
2026-04-10,West,Teddy Deluxe,15,79.00,1185.00
2026-04-16,North,Honey Jar,160,6.50,1040.00
2026-04-22,South,Picnic Blanket,30,45.00,1350.00
2026-04-29,East,Honey Jar,105,6.50,682.50
2026-05-05,West,Teddy Classic,58,29.90,1734.20
2026-05-11,North,Teddy Deluxe,21,79.00,1659.00
2026-05-17,South,Honey Jar,150,6.50,975.00
2026-05-23,East,Picnic Blanket,34,45.00,1530.00
2026-05-30,West,Honey Jar,112,6.50,728.00
2026-06-04,North,Teddy Classic,73,29.90,2182.70
2026-06-10,South,Teddy Deluxe,24,79.00,1896.00
2026-06-16,East,Honey Jar,170,6.50,1105.00
2026-06-22,West,Picnic Blanket,41,45.00,1845.00
2026-06-28,North,Honey Jar,180,6.50,1170.00
2026-07-03,South,Teddy Classic,69,29.90,2063.10
2026-07-09,East,Teddy Deluxe,28,79.00,2212.00
2026-07-15,West,Honey Jar,125,6.50,812.50
2026-07-21,North,Picnic Blanket,47,45.00,2115.00
2026-07-27,South,Honey Jar,190,6.50,1235.00
2026-08-02,East,Teddy Classic,80,29.90,2392.00
